id,name,salary,dob,join_date,performance,remarks,sector
1477,XbyorR,46234.67,,2004-05-16,2.61,—,Education
1478,pazaafN,65129.69,2011-06-15,2024-06-22,,,Finance
1479,BdCCDbpj,39898.91,1992-01-30,2001-09-26,1.67,Promising,Retail
1480,sxuoH,114605.66,1959-03-17,2022-04-18,3.51,,Finance
1481,YnEf,,1952-10-29,2012-07-27,1.37,Unreliable,Manufacturing
1482,ylEo,103853.08,1979-09-30,2011-11-22,,Team player,
1483,LUltaLK,144393.69,2005-11-26,2023-04-13,1.74,,Finance
1484,GimZL,unknown,1978-11-04,unknown_date,3.4,,Manufacturing
1485,wUaGwGdQSt,58009.72,1955-07-22,2016-12-29,3.8,Leadership potential,Finance
1486,sXCYFNvYBP,139226.89,1988-11-26,2000-11-08,1.26,Promising,
1487,gvpOKfqgJj,147130.75,2004-11-11,2023-06-17,,Team player,Retail
1488,Hpp,33740.49,2007-04-23,2022-02-04,4.06,Good worker,Healthcare
1489,emALFpKK,56434.89,1986-03-14,2010-08-26,3.99,Needs improvement,Retail
1490,XkBMjH,51368.3,1950-11-05,2013-05-16,2.6,,Education
1491,,73390.12,,2007-10-24,3.38,Team player,Finance
1492,dZtImfTm,unknown,1957-04-03,2008-09-05,4.21,Needs improvement,Manufacturing
1493,TWP,,1998-07-07,2003-03-12,1.19,Team player,IT
1494,gKYAlxtDz,129677.39,1968-03-16,2013-02-13,2.17,Team player,IT
1495,dKgwVLpnaY,141518.36,1961-06-11,2022-12-01,1.54,Needs improvement,Manufacturing
1496,KGzyDgG,137980.75,1979-04-21,2004-09-29,2.44,Promising,Finance
1497,OVG,115050.29,1957-11-05,2010-01-04,4.3,Good worker,Healthcare
1498,BaDcdA,69588.97,invalid_date,2005-11-24,2.46,Unreliable,Healthcare
1499,NFf,128985.19,2001-11-18,2010-08-31,poor,Good worker,Education
1500,RxQOhpLiXN,43844.36,2001-05-07,2009-10-22,,—,IT
1501,PsyhpaoKQ,117012.8,invalid_date,2002-09-04,1.65,Team player,Education
1502,uZpOkGrNf,46492.16,1957-03-26,2023-02-09,excellent,,IT
1503,WBsweAI,68411.68,1981-03-31,2010-02-01,1.75,Unreliable,Healthcare
1504,BxO,95061.76,invalid_date,2022-07-23,2.6,Promising,Education
1505,zCN,120878.74,1982-04-17,2014-07-02,,Promising,Education
1506,vWBesig,75779.43,1978-01-05,unknown_date,2.13,Team player,Finance
1507,QRYHXyYopP,76037.71,1981-01-14,2008-09-26,3.31,Unreliable,
1508,aiIODyet,32968.34,1995-03-01,2013-11-19,3.83,Leadership potential,
1509,sxhmlYj,68873.0,2011-12-16,2013-08-29,1.18,Good worker,
1510,cpk,43480.96,1987-07-12,2000-10-26,1.4,Good worker,Healthcare
1511,wJIZXW,89813.96,1961-01-13,2012-04-19,1.6,Needs improvement,
1512,MjQwIi,147466.36,1963-12-05,,4.07,,
1513,yarNnVfskL,48779.66,1980-03-21,2014-01-07,1.49,Team player,Manufacturing
1514,nwot,31823.82,1967-03-09,2011-11-25,,Good worker,Healthcare
1515,LWw,149516.33,1963-06-29,2002-06-29,2.27,Team player,IT
1516,GtDjLjnfcf,,1977-03-08,2021-07-24,4.75,,Education
1517,tIcm,40366.73,1991-01-12,2006-07-22,,Team player,
1518,bIXKZa,,2003-12-08,2000-11-14,1.31,Good worker,Healthcare
1519,UvNl,40208.5,1991-05-10,2000-06-29,4.07,Unreliable,Manufacturing
1520,NvrinxotNd,96229.73,1962-03-03,2015-06-08,2.61,Unreliable,Education
1521,CAUrBHzp,,1960-06-26,2011-04-22,1.43,Promising,
1522,tQyUjnleQk,85688.81,1952-08-04,2016-08-26,,,
1523,yNJCGGvUKz,,1963-07-27,2023-02-28,,,
1524,ZMlDl,84328.99,1990-01-29,2002-04-19,1.35,,Education
1525,TfQUInyY,70582.15,1952-08-10,2022-10-06,4.98,Promising,
1526,IiCdgFcLVq,,2010-09-19,2006-08-29,3.67,Team player,
1527,ISKBxs,118133.62,,,3.07,Promising,Education
1528,YBzzd,53222.14,1982-09-16,2015-10-12,poor,Unreliable,Retail
1529,pRRVQn,142187.15,1983-05-08,2001-08-30,2.68,,IT
1530,EiE,88160.93,1965-05-23,unknown_date,1.22,,Finance
1531,lwdSRsAkYe,71391.87,1986-10-30,2023-09-03,3.15,Good worker,IT
1532,NExIGZw,56502.59,1965-08-20,2007-10-24,poor,Unreliable,Finance
1533,WbNUA,69580.76,1979-09-07,2019-09-09,1.08,Needs improvement,Healthcare
1534,mmwxlrI,unknown,1951-10-21,2018-01-07,3.2,Needs improvement,Retail
1535,jcnyqdT,117073.02,1951-03-14,2018-07-23,1.66,Good worker,Finance
1536,QFlUt,78642.08,1952-04-18,2002-04-21,,,Finance
1537,EzmJEXP,122561.24,1970-06-28,2009-09-15,3.17,Unreliable,Retail
1538,rerLmM,63660.81,1966-02-18,2021-10-01,1.12,Promising,Manufacturing
1539,YrB,,1954-03-23,unknown_date,2.75,Promising,IT
1540,Hyn,72822.06,1980-03-19,2011-11-09,1.43,Promising,Retail
1541,FNd,61127.02,1963-07-29,,3.38,Unreliable,Retail
1542,ReaFtYY,140597.23,1954-07-24,2003-07-07,,Good worker,Finance
1543,OUSL,117402.27,1982-08-14,2005-03-14,3.16,Leadership potential,
1544,cqnkAwmooP,98910.12,1975-07-22,unknown_date,4.45,Needs improvement,
1545,CfsKvzMmp,58720.44,1994-10-02,2000-05-08,poor,—,
1546,ueSpk,117582.5,1961-07-28,2001-03-11,1.61,Good worker,Finance
1547,UoxKamQiK,126087.03,2012-10-18,2012-09-12,,Leadership potential,Retail
1548,oKM,96982.77,1954-06-29,2009-01-20,3.25,—,Retail
1549,GgEGe,36800.78,1986-09-25,2008-01-04,2.46,—,IT
1550,UNbPFiWZJ,93185.29,1973-11-01,,2.48,,Healthcare
1551,IPIkuE,58026.72,2004-01-03,2006-10-03,1.65,,Finance
1552,CsKz,128166.15,2004-06-03,2014-08-30,,Promising,Finance
1553,OIBZP,53933.76,1977-06-05,2010-09-08,,—,Manufacturing
1554,UrFYvgyg,77258.67,,2015-09-11,1.91,Unreliable,Manufacturing
1555,tTs,124729.82,2017-08-11,2011-01-12,4.48,Promising,Education
1556,SZnx,133450.3,invalid_date,2015-02-26,3.21,Needs improvement,IT
1557,jYd,85626.53,1996-06-26,2000-01-28,3.18,—,IT
1558,HMFKnOl,93330.01,1967-02-25,2019-09-15,3.2,—,Healthcare
1559,rfZC,135496.98,2007-07-10,2005-06-29,3.22,Leadership potential,IT
1560,cMUmgZIsVJ,86421.09,1994-08-09,2011-06-22,1.35,Team player,Healthcare
1561,FIs,48445.36,2010-10-29,2001-04-02,1.41,Unreliable,Finance
1562,waGI,90480.01,2007-08-16,2008-06-27,,Leadership potential,
1563,PKREXRq,94413.52,1993-05-22,2012-03-04,3.73,Promising,Retail
1564,Zbb,136646.02,1967-07-12,,3.72,Team player,IT
1565,UENzQK,98533.44,1960-12-26,2018-07-07,4.13,Needs improvement,Healthcare
1566,ZXIJmBHnd,40908.45,2007-10-30,2001-10-04,3.08,Unreliable,
1567,gsoYBIpSd,100935.02,1991-09-07,2010-02-04,2.25,Promising,Manufacturing
1568,mIQV,,1990-06-28,2012-09-05,3.7,,Healthcare
1569,BTvKjjC,,1989-04-26,2020-02-27,,Good worker,Manufacturing
1570,Wql,138298.65,,2021-11-18,4.71,,IT
1571,qAEZKg,86028.49,2012-06-10,unknown_date,3.53,Good worker,Healthcare
1572,vNnABQMza,84900.0,1951-03-25,2005-11-12,3.74,Leadership potential,Education
1573,IsKTY,52459.81,1981-07-11,2011-02-04,4.87,Unreliable,Education
1574,GCd,144000.97,2017-11-21,2006-11-19,,Leadership potential,IT
1575,tkaqOqpk,63667.25,1997-09-13,2013-01-29,1.61,Promising,Finance
1576,CzpdcKEz,104465.51,2014-09-11,2004-09-25,,,Healthcare
1577,pQuU,56090.08,1980-03-29,2021-02-16,2.65,Promising,Finance
1578,NInmrVevx,123441.5,1950-09-09,2018-11-05,4.48,Leadership potential,Healthcare
1579,hCjb,48778.6,invalid_date,2007-06-09,1.62,Unreliable,IT
1580,MPNvTTH,84770.39,2001-09-24,2009-08-30,4.67,Unreliable,
1581,RwwHurvvFi,96882.02,2007-01-16,2019-12-21,4.07,,Finance
1582,pNnLZ,,1993-01-14,2014-04-29,3.84,Promising,IT
1583,MSDAafB,56067.28,1990-06-16,2000-01-04,excellent,Good worker,IT
1584,ReZiQwg,,1981-10-26,2012-05-24,excellent,Leadership potential,IT
1585,dTzfOZ,60266.8,1964-01-14,2000-06-12,4.5,Promising,Retail
1586,sgaHUGDZ,,1982-09-29,2021-08-19,2.15,—,Healthcare
1587,emD,40712.44,1952-02-12,2013-09-28,2.67,Good worker,
1588,VGQr,32692.09,1977-05-23,2022-11-09,,Unreliable,Education
1589,BbItaLova,78484.45,1962-03-04,2016-02-03,,Unreliable,Finance
1590,lFpBaKL,81191.21,2004-02-29,2006-07-22,4.13,Leadership potential,Retail
1591,dKnFXIv,111668.95,invalid_date,2021-11-05,2.63,Needs improvement,Manufacturing
1592,hwKF,149286.25,2001-09-26,2000-04-01,3.27,Leadership potential,Healthcare
1593,fDAslor,80110.33,1980-06-23,2010-03-07,3.43,,Manufacturing
1594,acE,44268.65,,2012-09-26,3.16,Good worker,Retail
1595,uEvE,72118.41,invalid_date,2006-01-15,1.99,Promising,Retail
1596,FHlALKsUY,85513.4,1992-07-14,2008-12-27,1.96,,Healthcare
1597,RlJwsqGtg,,1991-02-26,2023-03-02,2.8,,Education
1598,XbT,133902.23,1983-08-18,2004-07-06,4.73,Good worker,Retail
1599,wegQoDY,104082.19,invalid_date,2010-10-08,1.75,,Manufacturing
1600,XHGcgrsmwq,73984.36,1956-01-03,2022-12-14,1.49,,Education
1601,eYz,65426.13,2012-04-01,,4.33,—,Finance
1602,ofLhucJE,95586.08,2004-06-13,2015-08-21,3.34,Promising,Finance
1603,xgyzakOQp,146139.55,1974-12-30,2016-11-11,3.36,Team player,Healthcare
1604,KnCsJ,115442.04,1959-04-13,2023-03-19,4.92,Needs improvement,Manufacturing
1605,qJx,47524.77,1980-09-26,2003-12-03,4.23,Good worker,IT
1606,sQvHC,93872.78,1987-10-17,2005-11-21,3.01,Needs improvement,IT
1607,HQPNkp,42127.95,1960-12-30,2022-06-14,3.47,Promising,Education
1608,onuZ,143905.25,2002-09-09,unknown_date,1.43,Promising,Retail
1609,CEqYnbIy,95607.1,1973-10-09,2009-11-29,1.35,Needs improvement,Healthcare
1610,MiGYVUZtH,144652.28,1953-01-27,,2.54,Unreliable,Retail
1611,ydNCE,78550.51,1958-06-13,2020-07-13,2.67,Team player,Finance
1612,dloqpbvJWH,unknown,1955-02-28,2004-01-12,3.52,,Education
1613,nVIbknnAb,71721.98,1984-02-11,2002-07-27,1.71,,Healthcare
1614,qwOrSf,40287.52,1966-03-09,2017-07-23,2.79,Good worker,Finance
1615,SGZlOj,60332.28,1981-06-12,2003-01-02,4.53,Promising,
1616,BLQMalTO,146484.81,1978-12-08,2009-01-01,1.33,Promising,IT
1617,pAwDR,unknown,1998-09-29,2005-05-22,excellent,Leadership potential,IT
1618,yJvls,138705.91,1997-08-10,2003-08-10,,,Manufacturing
1619,ltEngn,74173.03,1956-03-31,2015-04-29,3.26,,Manufacturing
1620,NxKkwxhjJb,65041.8,1992-03-18,2013-03-20,1.11,,Education
1621,,92023.92,1953-10-13,2007-10-23,4.25,,Finance
1622,ggw,148567.67,2005-10-02,2022-06-12,4.66,—,Healthcare
1623,kDnkOdSlsw,98230.21,2007-06-24,2022-06-19,4.95,,Finance
1624,pvMyHUMA,134251.12,1994-06-17,2019-01-31,1.66,Needs improvement,Finance
1625,dzVeo,54171.19,1980-06-09,2001-11-12,4.7,Leadership potential,IT
1626,EZBcWFZSxc,74542.14,1961-05-16,2004-03-26,1.35,,Manufacturing
1627,ENyXLjHlc,131668.82,1964-03-07,2020-05-08,2.76,Leadership potential,Healthcare
1628,,101975.61,1951-12-14,2024-08-14,1.16,,IT
1629,llOp,63309.79,1969-04-22,2002-09-14,1.07,Team player,Finance
1630,qGDYBuWOCs,135529.79,1988-03-07,2002-09-02,2.8,Team player,IT
1631,lVteffd,149495.54,invalid_date,2023-08-25,2.7,Good worker,Retail
1632,JNuXJW,119067.47,2014-04-11,2009-04-03,2.17,,Healthcare
1633,XBmKGdHXL,103220.94,1962-03-30,2005-08-22,2.19,Team player,Retail
1634,FIgsaEy,83194.41,invalid_date,2010-03-06,3.04,Promising,Manufacturing
1635,lNhct,36762.98,1978-05-15,2013-07-21,3.34,Leadership potential,Education
1636,Kof,91243.64,2012-09-11,2005-06-27,excellent,Good worker,Finance
1637,feBql,64156.15,1993-07-03,2001-10-15,4.36,,Finance
1638,HoIoNEaxCn,58872.43,1971-11-15,2008-02-09,2.03,Unreliable,IT
1639,mBn,59009.07,2016-05-28,2013-05-23,4.68,,Finance
1640,oFOLoSFOX,65151.25,1971-06-19,2017-01-01,,Promising,Education
1641,TqaNUMby,,1965-12-31,2005-11-22,3.41,Promising,IT
1642,Bpmce,100738.22,2000-07-05,2023-02-12,,Promising,Healthcare
1643,pLweRfReqZ,,2016-11-26,2019-05-23,2.69,Team player,Finance
1644,iuFooshXL,79117.74,1999-04-25,2010-10-08,3.88,Needs improvement,Manufacturing
1645,xrstB,,2006-04-13,2013-06-07,,Leadership potential,Healthcare
1646,AXxr,43068.14,2015-07-24,2017-12-09,3.42,—,Healthcare
1647,,42168.52,2016-02-24,2000-12-27,3.04,,IT
1648,,101125.14,1953-03-07,2004-10-24,3.78,Team player,Manufacturing
1649,IUqLhuYrxo,132683.11,1968-01-20,2011-03-02,3.79,Leadership potential,Healthcare
1650,QATQxMfyf,121172.64,2006-08-18,2023-02-24,3.54,Unreliable,Healthcare
1651,BZMlqCYsL,126882.89,1980-04-24,2015-09-12,1.36,Unreliable,Retail
1652,PnlrL,99973.12,1966-01-04,2022-03-23,3.81,,Manufacturing
1653,SRaaNa,36665.96,2008-05-03,2021-02-25,1.78,—,Education
1654,KgMXsLfPAv,89192.59,1987-05-09,2002-09-19,poor,Leadership potential,IT
1655,szrkaVN,117947.24,1989-05-01,2002-09-30,1.89,Promising,Healthcare
1656,cDuwotcoA,148937.28,1969-10-08,2007-05-27,2.4,Unreliable,Education
1657,ZBDJXFUg,109161.99,1950-03-23,2006-06-04,average,,
1658,omFfdIatOP,106262.73,1966-11-10,2000-08-08,1.22,,Retail
1659,aUlWHxNS,31200.35,1984-05-18,2020-12-01,4.21,Team player,Education
1660,AqKSGJOr,59121.38,invalid_date,2004-10-24,1.82,Good worker,Manufacturing
1661,QfaRgsouw,89799.32,1958-09-01,2005-06-18,3.42,Promising,
1662,EPVherf,61924.54,1979-08-18,2006-08-05,average,Promising,Healthcare
1663,gqZKQlSix,133274.69,1951-12-11,2007-07-24,4.28,Needs improvement,
1664,rhciiBBX,144296.81,2008-01-13,2003-04-16,3.83,Unreliable,Finance
1665,wnKDmii,65229.15,1953-01-06,2001-07-03,4.14,Good worker,Retail
1666,RFTmC,94096.17,1967-08-25,2013-11-04,2.22,—,Finance
1667,cMdmGrtm,106448.36,2001-11-07,2015-07-07,3.64,Good worker,Retail
1668,SgJXNydsEw,62351.56,1992-08-01,2009-03-20,3.38,Needs improvement,Finance
1669,cns,61500.68,1961-09-23,2015-04-07,3.79,Good worker,Education
1670,sseD,83892.72,1952-10-23,2004-09-23,,,IT
1671,sSaMpoZIgk,,1985-12-24,2002-07-09,3.26,,Healthcare
1672,DQRNefE,71010.02,1983-03-15,2007-12-14,3.06,Needs improvement,Finance
1673,kNaQ,77809.94,2013-08-14,2000-03-20,3.6,Promising,Retail
1674,,61954.64,1993-04-04,2007-07-08,3.97,Good worker,Retail
1675,cHm,137867.18,2009-08-15,2024-04-29,1.4,—,Education
1676,MSkeO,35433.41,1997-04-27,2016-08-13,4.81,—,Retail
1677,gZGGY,unknown,,2006-03-17,3.56,Team player,IT
1678,BmxM,63158.63,1995-05-10,2018-12-03,excellent,Unreliable,IT
1679,RROni,50935.61,1967-06-26,2020-03-15,2.76,Good worker,Healthcare
1680,mRbwJ,91906.74,2006-01-10,2008-12-03,2.69,—,Manufacturing
1681,nePmhJvxQX,148925.68,1957-10-29,2014-04-07,2.47,—,Healthcare
1682,LoB,82102.3,1954-12-27,2021-09-14,4.55,Team player,Finance
1683,rKzreRKHj,73230.88,1966-12-23,2020-10-02,average,,
1684,mMH,60243.78,,2008-04-02,2.02,Promising,Finance
1685,avNNbiG,131644.14,2002-06-02,2004-02-18,4.78,,Manufacturing
1686,EohBO,46101.87,2015-11-20,2010-02-23,,Promising,Retail
1687,DoYG,99839.86,2011-02-10,2021-03-11,2.79,Unreliable,Retail
1688,xSm,67636.85,invalid_date,2006-07-08,2.05,Promising,Healthcare
1689,cnoWPhuMm,113257.99,2006-01-26,2020-02-24,2.27,,Education
1690,zNckeaJ,116557.72,1959-06-12,2003-07-28,2.06,Leadership potential,Retail
1691,UhHEMrsP,136678.35,1951-06-07,2008-06-17,4.55,Promising,Education
1692,WcYZEi,41445.23,1966-08-07,,4.14,Promising,Education
1693,ELdDeK,35787.68,1999-12-21,2001-10-05,3.91,Promising,Healthcare
1694,CfaB,142335.49,2011-04-21,2013-06-21,1.72,Good worker,Finance
1695,dnK,129597.25,2016-09-18,2017-07-22,,Good worker,
1696,GQNDryxu,75789.67,1997-01-11,2014-12-27,3.67,Unreliable,IT
1697,lMkQrbQdya,46118.92,1970-11-08,2016-01-11,2.97,,Education
1698,MbHRyuLl,72564.37,1985-06-04,2018-10-09,,Team player,Education
1699,COvHukCB,95887.5,1956-06-04,2003-04-17,3.75,Good worker,Manufacturing
1700,hfHXk,128070.47,2015-10-21,,2.72,Needs improvement,Manufacturing
1701,mUDjauB,,1955-02-23,2009-10-27,4.31,Team player,Manufacturing
1702,Kyn,,1982-09-14,2014-03-24,,Unreliable,IT
1703,dhdVOBxR,126238.14,2005-07-07,2019-02-21,2.02,,Finance
1704,TLDHDZFVqe,50289.56,1984-09-04,2001-05-29,1.54,—,
1705,HyidbXMd,56235.53,1961-12-23,2015-01-27,2.72,Promising,Healthcare
1706,VuOXxmLNdQ,,1995-11-30,2018-09-13,1.71,Leadership potential,Education
1707,aTO,39450.05,1997-01-02,unknown_date,4.94,Team player,Education
1708,,130362.59,1982-11-02,2011-10-13,,—,
1709,,142629.99,2017-01-18,unknown_date,3.55,Leadership potential,Retail
1710,DgmkTMDM,36741.84,1962-12-25,2023-10-19,3.9,,Manufacturing
1711,GqSTRt,69489.25,1987-03-17,2016-12-17,3.77,Leadership potential,
1712,DwsHzRLI,81132.07,2013-09-25,2005-06-13,4.66,,
1713,iOGjMUfpK,145005.16,1965-05-01,2003-04-30,4.61,,Healthcare
1714,,57548.63,2012-09-03,2009-09-23,4.19,Unreliable,IT
1715,TmRZDqeHQt,140043.19,1971-09-21,2020-10-04,,,Education
1716,ZWsy,,1965-08-15,unknown_date,4.29,Good worker,
1717,gfVcz,41221.19,1967-03-14,2006-10-26,2.08,,Finance
1718,KoI,107148.67,1960-07-16,2020-05-14,1.99,—,IT
1719,kMxVRFPziw,,1959-03-15,2004-11-25,3.67,Promising,IT
1720,WxcepgMe,105667.81,1996-06-20,2010-04-03,3.92,Good worker,Retail
1721,vLzBnjvP,,,2002-01-22,4.71,,Education
1722,EeVJayVoaw,36860.89,,,2.85,Unreliable,
1723,WJlXawXPt,99733.63,1971-09-18,2007-07-27,4.1,Needs improvement,Education
1724,vgnPTHWv,143624.77,1967-04-13,2003-03-02,3.95,Needs improvement,IT
1725,hXJJN,145951.13,1951-10-23,2016-06-23,4.0,Promising,Manufacturing
1726,vGVyzOlnf,124337.65,2003-09-17,2009-05-04,1.2,Unreliable,IT
1727,gXuuwKlMo,113233.38,,2005-12-30,2.53,Leadership potential,Manufacturing
1728,yKJfN,137288.34,1998-04-14,unknown_date,2.07,—,Retail
1729,KTvKhSp,51990.99,2003-09-09,2010-09-07,1.03,,Manufacturing
1730,QeulP,147352.36,2001-09-07,2006-06-12,2.25,Unreliable,Retail
1731,AmH,84517.95,1950-01-07,,2.88,—,Finance
1732,EOKKV,35308.08,1972-05-19,2024-06-08,1.47,Good worker,Finance
1733,NpSm,73416.11,1987-07-25,,2.0,,Education
1734,AVgm,38281.38,2013-07-01,,4.2,Team player,IT
1735,Lsg,110650.69,,2006-10-19,3.47,Good worker,IT
1736,snSzaF,40897.25,1963-06-06,2014-04-27,2.19,,Healthcare
1737,NBjoeufjAv,47957.14,1974-11-05,2004-04-21,2.48,Unreliable,Education
1738,egpBUV,unknown,1974-01-09,2003-12-23,4.16,Good worker,Education
1739,BBSBOdwmR,93121.05,1981-12-28,2000-02-22,1.56,Needs improvement,Finance
1740,XoX,87588.82,1956-12-22,2012-12-23,2.2,Promising,Healthcare
1741,NPVw,140525.43,1991-11-17,2014-04-14,3.79,Good worker,Retail
1742,iJGG,77020.48,1986-10-21,,3.82,—,IT
1743,ppdwOfB,107430.43,1966-09-13,2000-09-29,2.27,Leadership potential,Education
1744,VNoaaPcB,unknown,1982-12-31,2019-04-03,1.91,,IT
1745,VWQNWo,,1996-08-04,2012-07-29,3.12,,Retail
1746,fnHhRei,69023.01,2012-08-13,,2.93,Leadership potential,Healthcare
1747,WWKfH,33283.16,invalid_date,2004-04-16,2.03,Needs improvement,
1748,krXyG,43566.36,2009-01-18,2007-05-28,2.93,Unreliable,Finance
1749,KWZRZLjvY,139311.94,1983-08-31,2014-02-17,3.27,—,Healthcare
1750,qpJKCLMR,133533.11,2009-11-15,2004-04-10,,Promising,Finance
1751,ZlJAqlya,101385.48,1995-08-09,2003-05-05,4.2,,
1752,Zdc,79375.03,1958-09-15,2008-11-27,2.19,—,
1753,exBehNgVld,126269.17,1966-09-03,2002-04-30,1.12,,Finance
1754,,52029.56,invalid_date,,4.31,Unreliable,Healthcare
1755,GLrnlumx,67199.03,1973-05-11,2016-12-23,1.38,,IT
1756,hfMldXcmF,92602.54,1959-02-14,2006-05-14,3.92,Good worker,Retail
1757,lFrb,53747.74,invalid_date,2003-02-21,3.03,Promising,Manufacturing
1758,tmEuO,120142.58,1953-06-28,2007-02-18,1.56,Leadership potential,
1759,iVypgp,115288.11,1958-04-12,2003-12-13,1.8,Good worker,IT
1760,OzIBytppf,37265.59,1988-03-29,2017-04-10,2.09,Unreliable,Education
1761,QKfXSLoST,65677.81,1995-10-11,,3.1,Leadership potential,Manufacturing
1762,HYMVPhTCIY,93301.22,1972-01-14,2018-10-15,3.23,,Finance
1763,edxLfgyu,62267.44,1956-04-17,2003-04-04,1.95,,IT
1764,IlWhUgpM,103411.06,1977-11-30,2013-12-24,5.0,Leadership potential,Education
1765,NEsXMzyeS,78221.92,1982-05-29,2017-01-17,,Good worker,Retail
1766,rWmNmf,106132.56,2017-01-30,2021-03-24,4.27,,Finance
1767,eAu,80847.75,1956-04-23,unknown_date,1.49,—,IT
1768,jkZ,119445.0,1993-05-02,2021-06-29,3.57,Leadership potential,Education
1769,bvgId,53879.75,1965-11-02,unknown_date,1.52,Unreliable,Healthcare
1770,HvCzAAT,130488.8,1973-10-15,2013-03-31,4.79,Good worker,Retail
1771,qruvPH,92099.62,1962-03-31,,2.96,Needs improvement,IT
1772,USHcK,85609.21,1990-12-02,2023-04-13,1.38,Team player,Retail
1773,Zfkx,87488.01,2007-07-10,2000-05-09,2.18,,Healthcare
1774,gShlZFA,126304.98,1958-07-26,2023-01-29,2.36,—,Healthcare
1775,uVZcQU,62293.32,1955-11-09,2019-08-28,2.97,Needs improvement,Retail
1776,fIxPj,84216.18,1997-02-12,2010-07-14,2.97,Needs improvement,
1777,mjmIwaRVVe,93201.12,invalid_date,2016-06-25,3.08,Needs improvement,IT
1778,YzDvXHR,67382.12,2015-04-20,2007-08-10,,Good worker,Retail
1779,,unknown,2011-06-23,2021-08-15,1.82,Team player,Retail
1780,QWRdNRiFd,62884.83,invalid_date,2008-02-06,3.62,Good worker,
1781,SjylvRURQb,126804.61,1961-04-26,2013-02-03,,Team player,Retail
1782,yOwrHftHL,134038.12,1955-06-01,2007-04-25,,Team player,Finance
1783,FOIhTVdEJ,,2016-11-30,2004-09-21,2.39,Leadership potential,IT
1784,IPJ,131167.26,1955-11-07,unknown_date,3.11,Needs improvement,Healthcare
1785,jcdo,43824.65,1979-12-30,2020-01-27,3.36,,IT
1786,JSdZ,88308.14,invalid_date,2007-05-12,4.26,Leadership potential,Retail
1787,EiojpK,123197.24,1964-02-05,2008-05-21,4.51,Promising,Healthcare
1788,vWnq,117079.27,1984-01-02,2005-10-15,average,,IT
1789,,,1981-02-27,2011-01-25,2.02,Needs improvement,Healthcare
1790,FyrmXBo,92038.15,1958-07-29,2003-06-16,3.32,Good worker,IT
1791,ExqDXYq,unknown,invalid_date,2007-03-11,1.87,—,Manufacturing
1792,YETtQbIP,139367.44,2016-07-30,2017-05-18,4.34,Unreliable,Finance
1793,BjcUdjR,120737.2,1967-04-27,2009-12-09,1.22,Leadership potential,Manufacturing
1794,gXqG,104501.46,1967-05-26,2000-08-06,poor,Unreliable,Finance
1795,AxOndvOE,87764.98,1974-04-20,2009-03-01,3.2,Good worker,Manufacturing
1796,JcSgmkP,83885.32,1990-04-26,2010-09-28,3.37,Team player,Healthcare
1797,RetgXnBVuU,unknown,2007-03-22,2019-08-13,3.71,,Retail
1798,Xkn,105184.06,1956-01-22,2012-07-09,2.48,,Retail
1799,HxPOmLhczT,,invalid_date,2006-10-30,3.11,Needs improvement,
1800,AGEGeMGD,116777.57,1956-08-15,2010-03-18,1.84,Good worker,Education
1801,Sdrzlc,67543.98,1987-08-02,2008-03-01,4.61,Team player,Finance
1802,HHg,140040.19,,2002-03-20,1.72,—,Healthcare
1803,GVnzEQaM,41242.42,1966-06-01,2007-03-30,1.35,Needs improvement,Retail
1804,lptJIbqv,149262.33,1989-03-21,2008-06-11,3.1,Promising,Manufacturing
1805,KmmaeW,unknown,invalid_date,2002-05-16,1.77,Promising,Finance
1806,vvBNCWRyj,102216.74,2012-08-28,2006-11-19,1.78,Unreliable,Healthcare
1807,OZLVKzpL,127784.35,2007-12-31,2022-11-28,2.3,Unreliable,Healthcare
1808,DIPQ,117092.97,2012-10-30,2022-10-09,4.33,—,IT
1809,kjelrmxD,96933.28,1987-11-15,unknown_date,4.2,Needs improvement,Manufacturing
1810,,83727.68,1991-03-05,2023-11-30,1.59,,IT
1811,idYDVdS,79533.45,1994-08-27,2017-07-27,1.53,,Manufacturing
1812,btgWwAAoOf,110215.67,1985-12-23,2020-08-13,,Leadership potential,IT
1813,OGyPix,,1954-08-02,2001-05-06,1.77,Good worker,Healthcare
1814,hCOuClri,43852.51,1986-11-16,2002-07-23,4.08,Team player,Finance
1815,JFdybtZ,74654.57,1986-06-16,2008-04-29,2.58,Good worker,
1816,siT,121365.43,1983-03-13,2001-05-19,average,Team player,IT
1817,BOrIWql,113908.38,1979-08-01,2018-06-19,4.04,Unreliable,Finance
1818,rnrTr,124412.71,1977-03-15,2019-03-06,,Promising,Education
1819,LpslHU,76769.68,1961-09-20,2014-06-16,4.17,,Manufacturing
1820,SlgNoVTSag,unknown,1985-07-20,2021-03-07,4.36,Needs improvement,
1821,FjQ,41783.95,2006-02-23,2012-08-06,poor,,Retail
1822,sdTi,63275.08,1965-07-09,,,—,IT
1823,iFL,66232.51,2009-06-01,2005-10-31,1.88,Unreliable,Finance
1824,MCkCabJ,124172.26,invalid_date,2014-10-02,2.38,—,Manufacturing
1825,HYZ,unknown,1990-01-07,2014-05-31,4.45,Team player,IT
1826,AGtik,,1980-08-28,2014-05-26,2.85,Leadership potential,Retail
1827,FzTTrZz,52417.72,1960-01-18,2008-05-05,4.65,Promising,Healthcare
